MONTH_REPORTED,NUMBER_OF_TRIPS_2015,NUMBER_OF_TRIPS_2016,NUMBER_OF_TRIPS_2017,NUMBER_OF_TRIPS_2018
1,518539,1733583,3582540,4842911
2,518539,1732573,3455601,4718735
3,712521,1887034,4017804,5284216
4,764487,2014292,3839776,3500907
5,868650,2184055,4039394,3580748
6,876603,2256966,4007753,5292651
7,956447,2690828,4109970,5052784
8,1041740,2764145,4129588,5236080
9,1098735,2813310,4084594,4981605
10,1140334,3250032,4523491,5230188
11,1140334,3049268,4330439,5078655
12,1415227,3522722,4736232,4980394
