MONTH_REPORTED,NUMBER_OF_TRIPS_2015,NUMBER_OF_TRIPS_2016,NUMBER_OF_TRIPS_2017,NUMBER_OF_TRIPS_2018
2015-01,436199.0,1733583.0,3582540.0,4842911.0
2015-02,518539.0,1732573.0,3455601.0,4718735.0
2015-03,712521.0,1887034.0,4017804.0,5284216.0
2015-04,764487.0,2014292.0,3839776.0,3500907.0
2015-05,868650.0,2184055.0,4039394.0,3580748.0
2015-06,876603.0,2256966.0,4007753.0,5292651.0
2015-07,956447.0,2690828.0,4109970.0,5052784.0
2015-08,1041740.0,2764145.0,4129588.0,5236080.0
2015-09,1098735.0,2813310.0,4084594.0,4981605.0
2015-10,1140334.0,3250032.0,4523491.0,5230188.0
2015-11,1140334.0,3049268.0,4330439.0,5078655.0
2015-12,1415227.0,3522722.0,4736232.0,4980394.0
